"adm1_name","Easting","Northing","Datetime","fcs","cv_ind"
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-10-05",0.366477928161621,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-10-12",0.36509147644043,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-10-19",0.355111296517508,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-10-26",0.359643265860421,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-11-02",0.384076783316476,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-11-09",0.401127542768206,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-11-16",0.424115878513881,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-11-23",0.452772761753627,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-11-30",0.476955119541713,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-12-07",0.502534975324358,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-12-14",0.512708576747349,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-12-21",0.522162077767508,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2022-12-28",0.533104776654925,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-01-04",0.573215958731515,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-01-11",0.589929547991071,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-01-18",0.62484018598284,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-01-25",0.63418215070452,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-02-01",0.636537922450474,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-02-08",0.651152757917132,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-02-15",0.651204496111189,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-02-22",0.666895130702427,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-03-01",0.665431900024414,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-03-08",0.665741762433733,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-03-15",0.676086273193359,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-03-22",0.679270945957729,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-03-29",0.688629586356027,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-04-05",0.670904050554548,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-04-12",0.664106009347098,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-04-19",0.63502623966762,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-04-26",0.619919809613909,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-05-03",0.62652963910784,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-05-10",0.638093806675502,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-05-17",0.643263844081334,2
"Barh El Gazal",703.015195999231,1595.04509254626,"2023-05-24",0.635165279933385,2
