"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","MPI_intensity","currency_exchange_log","ndvi_value_cubic_intp","food_inflation_cubic_intp","Waterways"
"Batha",910.037659125296,1548.88385774273,"2022-10-05",0.506909675598144,0,68.5,6.49917030916269,0.375582625681049,17.4709111153739,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-10-12",0.507777432032994,0,68.5,6.51285594531575,0.359925104795863,18.4505792919711,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-10-19",0.502331357683454,0,68.5,6.50961594332047,0.332286905023993,20.0281672259613,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-10-26",0.491593284606934,0,68.5,6.50322030714717,0.307419099165433,21.1798521515528,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-11-02",0.478893699645996,0,68.5,6.49389438478416,0.286872941218821,21.6074376721309,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-11-09",0.470808846609933,0,68.5,6.4941013677678,0.269333699780666,21.081596812546,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-11-16",0.466560543605259,0,68.5,6.46244307513123,0.255474796979218,19.7960347527364,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-11-23",0.483996064322335,0,68.5,6.456825428121,0.245266240176777,18.2089984705064,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-11-30",0.492887175423758,0,68.5,6.4502452760724,0.23702807963094,16.7907377475566,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-12-07",0.508941094534738,0,68.5,6.43768324353852,0.23028975315998,15.9876740702667,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-12-14",0.531897604806083,0,68.5,6.43300038306161,0.224820402706894,15.9179279672669,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-12-21",0.577873142787388,0,68.5,6.429195818476,0.220398536920446,16.3157196536895,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2022-12-28",0.591823654174805,0,68.5,6.42687514964777,0.21712829605263,16.8729079307638,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-01-04",0.600688994271415,0,68.5,6.42378922495599,0.214383685302767,17.2825877354072,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-01-11",0.604763832092285,0,68.5,6.42188607557376,0.211335366849726,17.3355430610285,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-01-18",0.615503409249442,0,68.5,6.40901961240584,0.207937214574178,17.1193678146766,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-01-25",0.626615894862584,0,68.5,6.40408612516865,0.204800828200257,16.8193449598915,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-02-01",0.646099984305246,0,68.5,6.40282035545834,0.201850505492521,16.6219935959017,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-02-08",0.662277799333845,0,68.5,6.41431159084479,0.197779042287623,16.6978072815757,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-02-15",0.650192238943917,0,68.5,6.41984923838072,0.19336087331193,17.0720481162708,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-02-22",0.650190876552037,0,68.5,6.42212806277006,0.189859314973298,17.6457802615552,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-03-01",0.653313173566546,0,68.5,6.43148457389414,0.187151129000398,18.3110535125448,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-03-08",0.650015683855329,0,68.5,6.42696449734229,0.185365731474616,18.9578244388061,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-03-15",0.652394866943359,0,68.5,6.42442489151432,0.183969369598758,19.4570797533682,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-03-22",0.641495770045689,0,68.5,6.41820040608913,0.182343099539708,19.6635836712546,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-03-29",0.646884318760463,0,68.5,6.41120859550011,0.180633248399371,19.430922968118,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-04-05",0.64554700578962,0,68.5,6.40360051701064,0.17890442081401,18.6146735152827,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-04-12",0.636281863621303,0,68.5,6.39890140997876,0.177316551731156,17.1471107131827,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-04-19",0.624769009181431,0,68.5,6.39615832686993,0.176256889451643,15.1288073470544,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-04-26",0.61988888331822,0,68.5,6.39063702985835,0.175790788192982,12.6997202964379,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-05-03",0.649038184029715,0,68.5,6.38994993364773,0.175928082991419,9.9999854594844,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-05-10",0.652683410644531,0,68.5,6.38119118077176,0.176595248699449,7.1697387343446,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-05-17",0.680628215244838,0,68.5,6.40463303453537,0.177201072508667,4.34911601916943,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-05-24",0.68697760445731,0,68.5,6.41077548772291,0.178193085612274,1.67825321210979,1539.5878330685
"Batha",910.037659125296,1548.88385774273,"2023-05-31",0.693483897617885,0,68.5,6.41906681923479,0.18129354157681,-0.702713788683443,1539.5878330685
